Strategy report
Symbol: SPY
Work Time: 9/20/23, 8:30 AM - 2/14/25, 10:30 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TMOHourly;Buy to Open;100.0;$444.01;9/20/23, 8:30 AM;;($72.00);100.0;
2;TMOHourly;Sell to Close;-100.0;$442.57;9/20/23, 1:30 PM;($144.00);($144.00);0.0;
3;TMOHourly;Sell to Open;-100.0;$442.57;9/20/23, 1:30 PM;;$255.00;-100.0;
4;TMOHourly;Buy to Close;100.0;$432.77;9/22/23, 9:30 AM;$980.50;$836.50;0.0;
5;TMOHourly;Buy to Open;100.0;$432.77;9/22/23, 9:30 AM;;$884.00;100.0;
6;TMOHourly;Sell to Close;-100.0;$432.14;9/22/23, 12:30 PM;($62.50);$774.00;0.0;
7;TMOHourly;Sell to Open;-100.0;$432.14;9/22/23, 12:30 PM;;$729.00;-100.0;
8;TMOHourly;Buy to Close;100.0;$430.99;9/22/23, 1:30 PM;$115.00;$889.00;0.0;
9;TMOHourly;Buy to Open;100.0;$430.99;9/22/23, 1:30 PM;;$828.00;100.0;
10;TMOHourly;Sell to Close;-100.0;$432.60;9/25/23, 7:30 AM;$161.00;$1,050.00;0.0;
11;TMOHourly;Sell to Open;-100.0;$432.60;9/25/23, 7:30 AM;;$1,357.00;-100.0;
12;TMOHourly;Buy to Close;100.0;$430.99;9/25/23, 10:30 AM;$161.00;$1,211.00;0.0;
13;TMOHourly;Buy to Open;100.0;$430.99;9/25/23, 10:30 AM;;$1,210.00;100.0;
14;TMOHourly;Sell to Close;-100.0;$427.93;9/26/23, 9:30 AM;($306.00);$905.00;0.0;
15;TMOHourly;Sell to Open;-100.0;$427.93;9/26/23, 9:30 AM;;$934.00;-100.0;
16;TMOHourly;Buy to Close;100.0;$426.82;9/27/23, 9:30 AM;$111.00;$1,016.00;0.0;
17;TMOHourly;Buy to Open;100.0;$426.82;9/27/23, 9:30 AM;;$753.99;100.0;
18;TMOHourly;Sell to Close;-100.0;$425.97;9/27/23, 10:30 AM;($85.00);$931.00;0.0;
19;TMOHourly;Sell to Open;-100.0;$425.97;9/27/23, 10:30 AM;;$1,247.06;-100.0;
20;TMOHourly;Buy to Close;100.0;$424.39;9/27/23, 1:30 PM;$158.50;$1,089.50;0.0;
